,City,Latitude,Longitude,Max Temp.,Humidity,Cloudiness,Wind Speed,Country,Date
365,zhireken,52.8249,117.3076,3.88,94,100,1.83,RU,1612914898
366,arti,56.4234,58.5328,-19.19,87,87,7.72,RU,1612914898
367,matadi,-5.8167,13.45,74.21,90,100,0.27,CD,1612914664
368,springfield,37.2153,-93.2982,23.0,93,90,10.36,US,1612914757
369,lebu,-37.6167,-73.65,62.24,80,3,11.3,CL,1612914899
370,valparaiso,-33.0393,-71.6273,68.0,73,0,6.91,CL,1612914899
371,kewanee,41.2456,-89.9248,3.0,61,69,4.54,US,1612914899
372,marawi,7.9986,124.2928,75.99,91,46,5.99,PH,1612914899
373,portland,45.5234,-122.6762,46.99,53,20,4.61,US,1612914782
374,christchurch,-43.5333,172.6333,71.01,68,60,8.05,NZ,1612914899
375,waycross,31.2136,-82.354,62.6,94,90,2.57,US,1612914899
376,ossora,59.2353,163.0719,29.01,97,100,42.7,RU,1612914899
377,nelson bay,-32.7167,152.15,66.99,88,90,3.44,AU,1612914900
378,samarai,-10.6167,150.6667,85.05,66,100,4.05,PG,1612914900
379,sechura,-5.5569,-80.8222,77.99,69,29,14.52,PE,1612914900
380,zyryanovsk,49.7386,84.2719,-8.34,85,76,2.19,KZ,1612914605
381,meulaboh,4.1363,96.1285,77.41,84,42,3.96,ID,1612914900
382,corrales,35.2378,-106.6067,63.0,9,1,14.97,US,1612914900
383,shorewood,41.52,-88.2017,8.6,61,1,3.44,US,1612914842
384,kendari,-3.945,122.4989,81.21,83,28,2.08,ID,1612914900
385,maragogi,-9.0122,-35.2225,78.4,77,27,6.02,BR,1612914901
386,vao,-22.6667,167.4833,77.95,82,8,10.31,NC,1612914901
387,narnaul,28.0444,76.1083,57.83,45,100,3.85,IN,1612914901
388,torbay,47.6666,-52.7314,30.99,86,90,27.63,CA,1612914901
389,cravo norte,6.3017,-70.2041,88.86,41,96,8.9,CO,1612914901
390,camana,-16.6228,-72.7111,72.23,80,57,4.47,PE,1612914902
391,boa vista,2.8197,-60.6733,84.2,51,40,9.22,BR,1612914704
392,carndonagh,55.25,-7.2667,31.14,92,50,10.89,IE,1612914903
393,fairbanks,64.8378,-147.7164,-16.6,58,1,4.29,US,1612914702
394,champerico,14.3,-91.9167,86.0,66,40,9.22,GT,1612914904
395,presov,49.1667,21.25,30.99,91,100,4.79,SK,1612914904
396,bealanana,-14.55,48.7333,65.41,92,100,0.56,MG,1612914904
397,eyl,7.9803,49.8164,72.45,66,94,15.37,SO,1612914904
398,batemans bay,-35.7167,150.1833,66.0,76,99,1.01,AU,1612914904
399,antalaha,-14.9003,50.2788,74.97,93,100,4.32,MG,1612914904
400,kudahuvadhoo,2.6708,72.8944,80.96,76,26,13.94,MV,1612914905
401,cairns,-16.9167,145.7667,86.0,74,31,5.75,AU,1612914795
402,muros,42.7762,-9.0603,52.0,79,93,7.0,ES,1612914905
403,santa cruz,-17.8,-63.1667,69.8,88,90,16.11,BO,1612914756
404,kyzyl-suu,42.3414,78.0056,34.74,83,98,7.43,KG,1612914905
405,fort nelson,58.8053,-122.7002,-11.2,53,75,9.22,CA,1612914905
406,mehamn,71.0357,27.8492,20.98,88,100,19.19,NO,1612914906
407,port said,31.2565,32.2841,62.6,88,0,4.61,EG,1612914906
408,banting,2.8167,101.5,78.8,88,20,3.44,MY,1612914659
409,poum,-20.2333,164.0167,80.69,70,0,12.15,NC,1612914906
410,ambovombe,-25.1667,46.0833,75.34,83,100,2.17,MG,1612914906
411,gairo,39.8497,9.5047,59.0,55,40,19.57,IT,1612914906
412,herat,34.5,62.0,45.99,56,0,4.54,AF,1612914906
413,ternate,0.8,127.4,82.45,75,98,3.87,ID,1612914907
414,hokitika,-42.7167,170.9667,58.44,75,59,11.45,NZ,1612914907
415,bonavista,48.6499,-53.1147,32.0,93,100,14.97,CA,1612914907
416,svetlogorsk,52.6333,29.7333,8.11,96,87,4.61,BY,1612914907
417,fortuna,40.5982,-124.1573,54.0,87,40,10.36,US,1612914907
418,maniitsoq,65.4167,-52.9,20.26,82,0,5.26,GL,1612914907
419,semnan,35.5729,53.3971,47.93,52,69,1.81,IR,1612914907
420,botwood,49.1499,-55.3482,25.0,90,100,3.0,CA,1612914908
421,show low,34.2542,-110.0298,51.8,17,1,11.5,US,1612914908
422,maarianhamina,60.0973,19.9348,-4.0,84,0,3.44,AX,1612914908
423,ukiah,39.1502,-123.2078,62.6,34,90,9.22,US,1612914738
424,palana,59.1167,159.9667,28.02,93,98,42.97,RU,1612914908
425,teya,60.3778,92.6267,-5.17,85,100,10.18,RU,1612914908
426,san patricio,28.017,-97.5169,73.4,78,20,17.27,US,1612914909
427,buchanan,5.8808,-10.0467,77.0,100,75,6.31,LR,1612914906
428,astoria,46.1879,-123.8313,44.6,57,1,8.05,US,1612914909
429,tadine,-21.55,167.8833,81.77,75,0,13.35,NC,1612914909
430,beeskow,52.1667,14.25,16.0,69,77,1.01,DE,1612914909
431,acari,-15.4311,-74.6158,73.71,72,48,4.27,PE,1612914909
432,garowe,8.4054,48.4845,63.77,69,96,7.83,SO,1612914909
433,natal,-5.795,-35.2094,82.4,78,40,11.5,BR,1612914855
434,doha,25.2867,51.5333,64.4,88,2,9.22,QA,1612914687
435,kaeo,-35.1,173.7833,72.0,92,100,4.0,NZ,1612914910
436,beyneu,45.3167,55.2,29.82,91,100,15.21,KZ,1612914910
437,gamboma,-1.8764,15.8644,75.63,78,99,4.47,CG,1612914910
438,ust-maya,60.4167,134.5333,-21.48,86,25,1.52,RU,1612914910
439,warman,52.3168,-106.5679,-14.01,70,75,23.02,CA,1612914910
440,lazaro cardenas,17.9583,-102.2,77.92,70,0,9.51,MX,1612914910
441,cheremnoye,53.1697,83.2133,-0.4,71,75,17.9,RU,1612914911
442,alice springs,-23.7,133.8833,86.0,62,40,6.91,AU,1612914911
443,evensk,61.95,159.2333,15.76,88,100,26.82,RU,1612914911
444,otane,-39.8833,176.6333,64.99,79,98,4.0,NZ,1612914911
445,raudeberg,61.9875,5.1352,27.0,63,16,9.22,NO,1612914911
446,victor harbor,-35.5667,138.6167,86.0,32,0,5.84,AU,1612914911
447,sandpoint,48.2766,-116.5533,24.8,36,75,4.63,US,1612914911
448,bintulu,3.1667,113.0333,78.8,94,40,2.3,MY,1612914625
449,torbat-e jam,35.244,60.6225,47.8,54,17,0.45,IR,1612914912
450,kholbon,51.8833,116.25,8.8,92,100,2.84,RU,1612914912
451,wamba,8.9333,8.6,75.2,18,29,4.61,NG,1612914912
452,kariba,-16.5167,28.8,70.74,95,100,3.38,ZW,1612914912
453,iaciara,-14.0958,-46.6317,69.85,93,14,1.99,BR,1612914912
454,oranjestad,12.524,-70.027,80.6,74,20,17.27,AW,1612914634
455,kruisfontein,-34.0033,24.7314,62.01,92,5,1.01,ZA,1612914912
456,leshukonskoye,64.8989,45.7622,-13.16,90,97,0.74,RU,1612914913
457,port augusta,-32.5,137.7667,89.01,39,0,2.3,AU,1612914913
458,mananara,-16.1667,49.7667,76.69,87,100,1.57,MG,1612914913
459,bud,39.447,-86.1758,24.01,78,100,6.22,US,1612914913
460,estelle,29.8458,-90.1067,70.0,78,75,5.75,US,1612914913
461,pacific grove,36.6177,-121.9166,55.99,76,1,4.61,US,1612914913
462,susanville,40.4163,-120.653,51.8,50,1,4.61,US,1612914913
463,oranjemund,-28.55,16.4333,63.52,82,0,10.54,NA,1612914913
464,manta,-0.95,-80.7333,77.0,94,75,4.61,EC,1612914914
465,touros,-5.1989,-35.4608,82.4,74,40,12.66,BR,1612914914
466,mosquera,4.7059,-74.2302,60.8,77,40,5.75,CO,1612914914
467,arkadak,51.9326,43.4978,8.65,95,100,12.3,RU,1612914914
468,waddan,29.1614,16.139,59.59,30,0,6.06,LY,1612914841
469,sfantu gheorghe,45.8667,25.7833,48.99,78,99,3.0,RO,1612914914
470,angermunde,53.015,13.9992,18.0,80,46,1.72,DE,1612914914
471,mubende,0.5606,31.39,67.15,78,83,1.72,UG,1612914915
472,kapit,2.0167,112.9333,75.54,93,98,0.25,MY,1612914915
473,kushikino,31.7167,130.2667,32.0,86,75,6.91,JP,1612914915
474,turayf,31.6725,38.6637,50.0,87,0,6.76,SA,1612914915
475,pindi gheb,33.2402,72.2661,55.56,44,0,2.55,PK,1612914915
476,beringovskiy,63.05,179.3167,-7.92,90,98,12.82,RU,1612914915
477,gao,16.6362,1.637,74.44,16,40,10.0,ML,1612914615
478,seoul,37.5683,126.9778,33.8,74,75,8.05,KR,1612914369
479,aklavik,68.2191,-135.0107,-32.8,75,0,1.14,CA,1612914915
480,kathu,7.9178,98.3332,77.0,88,20,4.61,TH,1612914916
481,mutis,6.2262,-77.4044,79.63,79,18,3.24,CO,1612914916
482,hovd,48.0056,91.6419,22.06,91,30,2.33,MN,1612914916
483,morristown,36.214,-83.2949,51.8,76,90,4.61,US,1612914916
484,gobabis,-22.45,18.9667,67.93,79,100,14.34,NA,1612914916
485,vanimo,-2.6741,141.3028,81.48,74,75,2.57,PG,1612914916
486,venado tuerto,-33.7456,-61.9688,68.0,51,56,8.99,AR,1612914916
487,scarborough,54.2797,-0.4044,32.0,60,87,8.99,GB,1612914916
488,izhma,65.0083,53.9113,-11.94,89,100,3.4,RU,1612914917
489,mao,39.8885,4.2658,57.2,94,40,16.11,ES,1612914917
490,tambopata,-12.7333,-69.1833,76.3,94,100,0.6,PE,1612914917
491,savannah bight,16.45,-85.85,82.4,74,20,3.44,HN,1612914917
492,taranagar,28.6709,75.0351,63.16,29,36,4.18,IN,1612914917
493,watsa,3.0372,29.5355,66.24,38,69,3.36,CD,1612914917
494,bundaberg,-24.85,152.35,78.8,50,17,12.66,AU,1612914917
495,jacareacanga,-6.2222,-57.7528,74.55,96,96,2.24,BR,1612914917
496,bertoua,4.5833,13.6833,65.73,27,62,2.46,CM,1612914918
497,alta floresta,-9.8756,-56.0861,73.09,95,100,3.22,BR,1612914918
498,son la,21.3167,103.9,49.68,95,40,0.54,VN,1612914918
499,udachnyy,66.4167,112.4,-25.37,82,46,6.62,RU,1612914918
500,cozumel,20.5083,-86.9458,80.6,78,75,10.36,MX,1612914918
501,souillac,-20.5167,57.5167,77.0,83,40,8.88,MU,1612914918
502,zmiyiv,49.6966,36.3611,26.6,93,90,11.18,UA,1612914918
503,clemson,34.6834,-82.8374,62.6,55,1,3.44,US,1612914687
504,saint-louis,16.3333,-15.0,77.0,36,0,2.3,SN,1612914919
505,moron,-34.6534,-58.6198,71.01,74,37,8.99,AR,1612914686
506,antananarivo,-18.9137,47.5361,64.4,100,40,2.3,MG,1612914919
507,keuruu,62.2667,24.7,12.99,85,90,4.61,FI,1612914919
508,arrecife,28.963,-13.5477,60.8,88,20,5.75,ES,1612914919
509,deputatskiy,69.3,139.9,-25.33,88,27,2.21,RU,1612914919
510,morgan city,29.6994,-91.2068,71.6,68,20,9.22,US,1612914919
511,torit,4.4133,32.5678,78.62,46,76,3.98,SS,1612914919
512,wuwei,37.9281,102.6414,37.0,35,1,2.57,CN,1612914920
513,bilma,18.6853,12.9164,67.23,21,17,8.01,NE,1612914920
514,kiama,-34.6833,150.8667,72.0,89,97,1.01,AU,1612914920
515,port macquarie,-31.4333,152.9167,69.01,100,90,8.05,AU,1612914920
516,kavaratti,10.5669,72.642,80.83,68,0,9.22,IN,1612914914
517,seoni malwa,22.45,77.4667,57.11,35,10,2.84,IN,1612914920
518,quilmana,-12.95,-76.3833,71.67,77,22,3.71,PE,1612914920
519,korla,41.7597,86.1469,28.78,84,36,5.66,CN,1612914920
520,jalostotitlan,21.2,-102.4667,78.8,10,1,11.5,MX,1612914921
521,dumas,35.8656,-101.9732,21.2,93,90,4.61,US,1612914921
522,santa vitoria do palmar,-33.5189,-53.3681,67.73,88,0,6.11,BR,1612914921
523,jizan,17.3333,42.6667,75.2,83,0,1.54,SA,1612914921
524,igrim,63.1906,64.4162,-27.33,85,45,3.62,RU,1612914921
525,agua verde,22.9,-106.05,75.2,46,1,12.66,MX,1612914921
526,imeni babushkina,59.7573,43.1285,-8.72,90,78,2.53,RU,1612914921
527,nantucket,41.2835,-70.0995,35.01,100,90,9.22,US,1612914921
528,sharjah,25.3573,55.4033,69.8,94,90,4.61,AE,1612914810
529,shediac,46.2198,-64.5411,17.6,57,75,14.97,CA,1612914922
530,berdigestyakh,62.0989,126.6992,-20.16,86,25,6.38,RU,1612914922
531,bambanglipuro,-7.95,110.2833,78.19,83,100,2.91,ID,1612914922
532,nimaparha,20.0667,86.0167,60.8,88,8,3.96,IN,1612914922
533,viloco,-16.95,-67.55,47.21,87,76,6.35,BO,1612914922
534,nueve de julio,-35.4444,-60.8831,71.01,63,1,1.99,AR,1612914922
